energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,name_artist,name_track,popularity,genre,date_collected
0.573,0.0897,141.935,0.0596,0.195,0.0,4,0.572,8,199827,-6.028,0.468,1,audio_features,spotify:track:2IDf0IZ9dfw0uDYV2n1bJc,Luan Santana,DEJA VU,77,arrocha,2023-12-15
0.871,0.765,79.994,0.219,0.172,0.0,4,0.646,4,133547,-6.195,0.624,1,audio_features,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Zé Neto & Cristiano,Barulho Do Foguete - Ao Vivo,87,agronejo,2023-12-15
0.6,0.131,136.189,0.415,0.15,0.0,4,0.644,0,141176,-4.805,0.518,0,audio_features,spotify:track:2twZl1jsRbJRTNCE6VB6eW,Chefin,10 Carros,81,funk carioca,2023-12-15
0.228,0.102,162.524,0.53,0.889,0.00642,5,0.734,7,221538,-4.731,0.522,0,audio_features,spotify:track:00ZKeP47bZtswtANkvxz2j,Tropa do Bruxo,Baile do Bruxo,88,N/A,2023-12-15
0.978,0.264,175.96,0.0477,0.424,0.0,4,0.739,8,214091,-2.617,0.958,1,audio_features,spotify:track:7GjAXYuxjuXPbQJzRnNdob,GREGO,Pane no Sistema,85,N/A,2023-12-15
0.631,0.0808,113.427,0.592,0.123,0.0,5,0.782,10,641941,-8.473,0.866,0,audio_features,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Dj GBR,Let's Go 4,89,rave funk,2023-12-15
0.95,0.958,159.881,0.09,0.21,0.0,4,0.571,7,202644,-2.893,0.543,0,audio_features,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Manu,Daqui pra Sempre,87,arrocha,2023-12-15
0.87,0.692,147.778,0.0942,0.444,0.0,4,0.529,1,166491,-3.463,0.384,0,audio_features,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Guilherme & Benuto,Manda um Oi - Ao Vivo,87,agronejo,2023-12-15
0.732,0.244,141.944,0.0372,0.784,0.0,4,0.686,1,169559,-5.878,0.659,0,audio_features,spotify:track:6rpUGV7bcWW9ro65Bf8uYY,Israel & Rodolffo,Eu Não Dou Conta - Ao Vivo,83,agronejo,2023-12-15
0.609,0.112,113.067,0.0375,0.521,1.01e-05,4,0.422,1,209520,-6.518,0.31,1,audio_features,spotify:track:7dKqPh21HpsysZvRWyNeM1,Isadora Pompeo,Bênçãos Que Não Têm Fim (Counting My Blessings),82,brazilian gospel,2023-12-15
0.752,0.912,167.073,0.157,0.708,6.07e-06,4,0.691,4,159323,-6.796,0.684,0,audio_features,spotify:track:4f0aDk7HX37SfzerfznYlr,Grupo Menos É Mais,Lapada Dela - Ao Vivo,86,pagode,2023-12-15
0.866,0.381,166.985,0.075,0.242,0.0,4,0.706,4,124512,-3.337,0.91,1,audio_features,spotify:track:6AENBD8I0mDGglFqrRZGu7,Gusttavo Lima,Canudinho - Ao Vivo,87,agronejo,2023-12-15
0.922,0.371,101.571,0.0606,0.112,0.0,4,0.477,1,173968,-3.394,0.521,1,audio_features,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Henrique & Juliano,Devia Ser Proibido - Ao Vivo Em Brasília,83,agronejo,2023-12-15
0.893,0.803,153.778,0.0866,0.176,0.0,4,0.588,6,178812,-2.743,0.626,1,audio_features,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Simone Mendes,Erro Gostoso - Ao Vivo,82,sertanejo,2023-12-15
0.517,0.0979,129.987,0.159,0.143,0.0,4,0.73,6,162993,-7.079,0.362,0,audio_features,spotify:track:3XIXklO3e0uWUAUkOR7NLI,Luan Pereira,DENTRO DA HILUX,86,agronejo,2023-12-15
0.839,0.94,109.984,0.0393,0.33,0.0,4,0.664,4,173370,-3.379,0.48,0,audio_features,spotify:track:6MCaEL0pQo1Jg1vlKpMWop,Simone Mendes,Dois Fugitivos - Ao Vivo,81,sertanejo,2023-12-15
0.413,0.133,130.078,0.0752,0.504,0.0514,4,0.92,7,138462,-7.901,0.679,0,audio_features,spotify:track:64CovjRwInpOJW4PiGMprY,MC Kevin o Chris,Faz um Vuk Vuk (Teto Espelhado),85,funk 150 bpm,2023-12-15
0.603,0.118,124.109,0.0775,0.392,0.0,4,0.795,1,232258,-6.703,0.753,1,audio_features,spotify:track:697gwO5YoSGVAnlfREIZll,MC PH,Tenho Que Me Decidir,74,funk consciente,2023-12-15
0.75,0.0845,124.993,0.0534,0.424,4.76e-05,4,0.947,6,163200,-0.855,0.961,0,audio_features,spotify:track:54u86CmMqGI1rRuULlTqaB,Felipe Amorim,Toca o Trompete,84,arrocha,2023-12-15
0.856,0.349,139.383,0.111,0.279,0.0,4,0.577,9,156432,-4.633,0.72,1,audio_features,spotify:track:6Td7nVeAOUz13zhDlUY8jv,Luan Pereira,CHEIRO NA CAMISETA,80,agronejo,2023-12-15
0.562,0.0294,125.021,0.0461,0.205,0.00906,4,0.895,11,179702,-4.946,0.961,0,audio_features,spotify:track:6drlqBh6BeYZinmYQ9qR2n,MC Rogerinho,Furduncinho do Rogerinho,82,arrocha,2023-12-15
0.916,0.906,153.664,0.0461,0.309,0.0,4,0.625,6,168840,-3.704,0.746,1,audio_features,spotify:track:5Sj0nbKFCB5GhcR1fL1lRp,Israel & Rodolffo,Seu Brilho Sumiu - Ao Vivo,75,agronejo,2023-12-15
0.71,0.312,160.015,0.196,0.33,0.0,4,0.689,9,173698,-4.822,0.606,1,audio_features,spotify:track:1bzRhnrWU1l1u4Bby9ZbfQ,AgroPlay,Nosso Quadro,81,agronejo,2023-12-15
0.805,0.556,124.041,0.0452,0.242,0.0,4,0.629,9,265451,-4.158,0.589,1,audio_features,spotify:track:2sYFUcurlISdHlAsnYCEgD,Lauana Prado,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade - Ao Vivo,72,sertanejo,2023-12-15
0.768,0.467,155.943,0.0391,0.679,0.0,4,0.579,1,196988,-5.34,0.81,1,audio_features,spotify:track:1kWcd9h9HoeXsKaDVhSOtj,Sorriso Maroto,Ela - Ao Vivo,80,pagode,2023-12-15
0.642,0.106,130.021,0.0379,0.97,0.803,4,0.789,0,197538,-8.631,0.894,0,audio_features,spotify:track:07DskqQ1NbTiotX1WIV7ob,Flora Matos,Piloto,82,afrofuturismo brasileiro,2023-12-15
0.636,0.0683,129.891,0.0521,0.239,0.0,4,0.837,10,127385,-4.206,0.857,0,audio_features,spotify:track:0oQCRjrWGvkqkdf82UlXI3,PEDRO SAMPAIO,POCPOC,75,funk carioca,2023-12-15
0.499,0.134,124.05,0.0563,0.669,0.0,4,0.836,3,140323,-5.82,0.65,0,audio_features,spotify:track:4hKLzFvNwHF6dPosGT30ed,Veigh,Novo Balanço,84,trap brasileiro,2023-12-15
0.783,0.117,126.708,0.334,0.0458,0.000102,4,0.53,3,178081,-5.737,0.554,1,audio_features,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MC Maneirinho,MONTAGEM ANOS 2000,84,funk carioca,2023-12-15
0.615,0.135,70.047,0.164,0.594,0.0,4,0.464,1,163636,-5.943,0.486,0,audio_features,spotify:track:54FV2rMVwLusAVnzROB0c1,Orochi,Mesma História,77,brazilian hip hop,2023-12-15
0.615,0.124,171.893,0.0706,0.774,0.0,4,0.4,3,262258,-5.32,0.268,0,audio_features,spotify:track:4VI4yOAb7fWrFCnuGBIaeG,MC Cabelinho,Carta Aberta,76,funk consciente,2023-12-15
0.96,0.0853,130.118,0.0492,0.497,0.00526,4,0.863,11,92093,-1.458,0.586,1,audio_features,spotify:track:0fABszUFNbNq9IW503Gj8v,DENNIS,Tá OK,84,funk carioca,2023-12-15
0.664,0.324,104.073,0.0284,0.691,0.0,4,0.701,5,166189,-4.42,0.437,1,audio_features,spotify:track:12G0KiYRpmpDOrube9GCa5,Ana Castela,Fronteira - Ao Vivo,80,agronejo,2023-12-15
0.76,0.247,154.136,0.0513,0.39,0.0,4,0.359,10,178251,-4.632,0.496,1,audio_features,spotify:track:4zW6JV4aqhXpbfZLZyEFvP,Henrique & Juliano,Quase Algo - Ao Vivo Em Nova Iorque / 2022,84,agronejo,2023-12-15
0.34,0.354,130.231,0.0873,0.763,4.99e-05,4,0.625,5,120014,-12.004,0.36,1,audio_features,spotify:track:2uhw2oYbugGJbn10wipNX5,Mc Livinho,Novidade na Área,83,funk carioca,2023-12-15
0.7,0.452,147.989,0.0501,0.436,0.0,4,0.682,10,134932,-4.279,0.664,1,audio_features,spotify:track:3S8M3mZGIc10IdtmNTsrjQ,Traia Véia,Eu Não Previ - Ao Vivo em Goiânia,82,N/A,2023-12-15
0.762,0.0857,129.989,0.0452,0.318,0.000237,4,0.884,4,136615,-2.344,0.962,0,audio_features,spotify:track:3Zgs8GjLi5hArtyLQhZ06Y,Felipe Amorim,Fode Bem,79,arrocha,2023-12-15
0.668,0.803,107.995,0.0459,0.601,0.0,4,0.67,2,159158,-6.411,0.552,1,audio_features,spotify:track:3mzbab4H0iZYkHggSEj0UX,Zé Neto & Cristiano,Oi Balde - Ao Vivo,77,agronejo,2023-12-15
0.676,0.123,125.065,0.0573,0.0796,0.0,4,0.833,9,192321,-7.426,0.876,0,audio_features,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Kadu Martins,Halls na Língua,80,N/A,2023-12-15
0.444,0.0762,127.414,0.123,0.07,0.00301,4,0.553,9,187153,-7.667,0.344,1,audio_features,spotify:track:2cZ62VBKsdZ7u1kKKJdFOc,Marshmello,Sou Musa do Verão,79,brostep,2023-12-15
0.83,0.334,122.109,0.122,0.467,0.0,4,0.841,2,171101,-2.502,0.798,0,audio_features,spotify:track:5LycBidoF0kWptQYXEVPlx,Leo Santana,Cama Repetida,74,arrocha,2023-12-15
0.669,0.245,139.975,0.0275,0.636,0.0,4,0.655,6,194582,-4.047,0.436,1,audio_features,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Ana Castela,Solteiro Forçado - Boiadeira Internacional,85,agronejo,2023-12-15
0.508,0.126,120.313,0.33,0.307,0.0,4,0.664,9,200000,-7.684,0.228,0,audio_features,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Vulgo FK,Ballena,81,trap brasileiro,2023-12-15
0.651,0.124,130.066,0.0529,0.0948,0.0,4,0.879,0,190101,-2.6,0.505,0,audio_features,spotify:track:4wjDiZGsZYQqKkXyPcQGF6,MC K.K,Agudo Mágico 4,81,funk mandelao,2023-12-15
0.927,0.326,124.003,0.0854,0.29,0.0,4,0.82,10,152086,-2.785,0.867,1,audio_features,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Diego & Victor Hugo,Pirulito Vermelho,82,arrocha,2023-12-15
0.741,0.722,114.019,0.0285,0.179,0.0,4,0.606,5,177327,-3.973,0.239,1,audio_features,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Ana Castela,Tô Voltando - (Boiadeira Internacional),84,agronejo,2023-12-15
0.825,0.689,144.667,0.126,0.322,0.0,4,0.521,8,171712,-6.025,0.692,0,audio_features,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Zé Neto & Cristiano,Um Mês E Pouco - Ao Vivo,84,agronejo,2023-12-15
0.778,0.356,156.144,0.0587,0.636,0.0,4,0.657,7,153237,-4.439,0.733,1,audio_features,spotify:track:7GScY8oE12cqTiNBzVQpUB,Gusttavo Lima,Mala dos Porta-Mala - Ao Vivo,84,agronejo,2023-12-15
0.925,0.766,71.49,0.385,0.396,0.0,4,0.418,1,169836,-2.941,0.627,1,audio_features,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Matheus & Kauan,Não Vitalício (Nunca Mais) - Ao Vivo,79,agronejo,2023-12-15
0.955,0.393,164.126,0.178,0.123,0.0,4,0.48,9,175468,-4.771,0.337,1,audio_features,spotify:track:23IebZSNZ8VzwUr4rJNGRG,Luan Santana,MEIO TERMO - Ao Vivo,80,arrocha,2023-12-15
